Class Name,Instance Side Definition,Class Side Definition
DropListMorph,"MorphicModel subclass: #DropListMorph 	uses: TEnableOnHaloMenu 	instanceVariableNames: 'contentMorph listMorph buttonMorph list listSelectionIndex getListSelector getIndexSelector setIndexSelector getEnabledSelector enabled useSelectionIndex wrapSelector defaultContents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","DropListMorph class 	uses: TEnableOnHaloMenu classTrait 	instanceVariableNames: ''"
AthensBalloonEngine,"BalloonEngine subclass: #AthensBalloonEngine 	instanceVariableNames: 'currentFill' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Balloon'","AthensBalloonEngine class 	instanceVariableNames: ''"
CatalogProvider,"Object subclass: #CatalogProvider 	instanceVariableNames: 'projects lastModified session' 	classVariableNames: 'Default' 	poolDictionaries: '' 	category: 'Tool-Catalog-Base'","CatalogProvider class 	instanceVariableNames: ''"
SDL_DropEvent,"SDL2MappedEvent subclass: #SDL_DropEvent 	instanceVariableNames: '' 	classVariableNames: 'OFFSET_FILE OFFSET_TIMESTAMP OFFSET_TYPE' 	poolDictionaries: '' 	category: 'OSWindow-SDL2-Bindings'","SDL_DropEvent class 	instanceVariableNames: ''"
FLTraitSerializationTest,"FLSerializationTest subclass: #FLTraitSerializationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLTraitSerializationTest class 	instanceVariableNames: ''"
ZdcAbstractSSLSession,"Object subclass: #ZdcAbstractSSLSession 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zodiac-Core'","ZdcAbstractSSLSession class 	instanceVariableNames: ''"
GLMPrintPopper,"GLMPopper subclass: #GLMPrintPopper 	instanceVariableNames: 'inspectButton' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Widgets-Popper'","GLMPrintPopper class 	instanceVariableNames: ''"
AthensCloseSegment,"AthensLineSegment subclass: #AthensCloseSegment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Core-Paths'","AthensCloseSegment class 	instanceVariableNames: ''"
MetacelloPharoCommonPlatform,"MetacelloPlatform subclass: #MetacelloPharoCommonPlatform 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-PharoCommonPlatform'","MetacelloPharoCommonPlatform class 	instanceVariableNames: ''"
RBUnwindBlocksRule,"RBTransformationRule subclass: #RBUnwindBlocksRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-TransformationRules'","RBUnwindBlocksRule class 	instanceVariableNames: ''"
