Class Name,Instance Side Definition,Class Side Definition
ManifestSystemHashing,"PackageManifest subclass: #ManifestSystemHashing 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Hashing'","ManifestSystemHashing class 	instanceVariableNames: ''"
HowToContributeHelp,"CustomHelp subclass: #HowToContributeHelp 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HowToContributeHelp'","HowToContributeHelp class 	instanceVariableNames: ''"
GLMPortIdentifier,"Object subclass: #GLMPortIdentifier 	instanceVariableNames: 'paneName portName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Helpers'","GLMPortIdentifier class 	instanceVariableNames: ''"
MetacelloVersionDefinitionError,"MetacelloVersionDoesNotExistError subclass: #MetacelloVersionDefinitionError 	instanceVariableNames: 'exception' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Exceptions-Errors'","MetacelloVersionDefinitionError class 	instanceVariableNames: ''"
FinderPragmaNode,"FinderNode subclass: #FinderPragmaNode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Finder'","FinderPragmaNode class 	instanceVariableNames: ''"
ZnEncodedReadStream,"ZnEncodedStream subclass: #ZnEncodedReadStream 	instanceVariableNames: 'peeked' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Core'","ZnEncodedReadStream class 	instanceVariableNames: ''"
MorphicMenuItemAdapter,"AbstractMorphicAdapter subclass: #MorphicMenuItemAdapter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-MorphicAdapters'","MorphicMenuItemAdapter class 	instanceVariableNames: ''"
BecomeTest,"TestCase subclass: #BecomeTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-VM'","BecomeTest class 	instanceVariableNames: ''"
GLMMorphicWatcherRenderer,"GLMMorphicWidgetRenderer subclass: #GLMMorphicWatcherRenderer 	instanceVariableNames: 'process' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Renderer'","GLMMorphicWatcherRenderer class 	instanceVariableNames: ''"
SplitJoinTest,"TestCase subclass: #SplitJoinTest 	instanceVariableNames: 'eg stringToSplit' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-SplitJoin'","SplitJoinTest class 	instanceVariableNames: ''"
InteractiveResolver,"FileSystemResolver subclass: #InteractiveResolver 	instanceVariableNames: 'cache' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Implementation'","InteractiveResolver class 	instanceVariableNames: ''"
LGitDiffLineTypeEnum,"LGitExternalEnumerationUInt32 subclass: #LGitDiffLineTypeEnum 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Enums'","LGitDiffLineTypeEnum class 	instanceVariableNames: ''"
LGitActionSequence,"DynamicVariable subclass: #LGitActionSequence 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-Abstracts'","LGitActionSequence class 	instanceVariableNames: ''"
IconicButton,"SimpleButtonMorph subclass: #IconicButton 	instanceVariableNames: 'graphicalMorph oldBorder oldBorderStyle mouseOverBorderStyle' 	classVariableNames: 'DefaultGraphics' 	poolDictionaries: '' 	category: 'Morphic-Widgets-Basic-Buttons'","IconicButton class 	instanceVariableNames: ''"
MetacelloConflictingProjectError,"MetacelloScriptingError subclass: #MetacelloConflictingProjectError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Scripts'","MetacelloConflictingProjectError class 	instanceVariableNames: ''"
TxDisplayCommand,"Object subclass: #TxDisplayCommand 	instanceVariableNames: 'next' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TxText-Athens'","TxDisplayCommand class 	instanceVariableNames: ''"
SDL_Rect,"SDL2Structure subclass: #SDL_Rect 	instanceVariableNames: '' 	classVariableNames: 'OFFSET_H OFFSET_W OFFSET_X OFFSET_Y' 	poolDictionaries: '' 	category: 'OSWindow-SDL2-Bindings'","SDL_Rect class 	instanceVariableNames: ''"
ProcessSpecificTest,"TestCase subclass: #ProcessSpecificTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Processes'","ProcessSpecificTest class 	instanceVariableNames: ''"
MouseOverHandler,"Object subclass: #MouseOverHandler 	instanceVariableNames: 'mouseOverMorphs enteredMorphs overMorphs leftMorphs' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Core-Events'","MouseOverHandler class 	instanceVariableNames: ''"
PluggableButtonMorphExample,"Model subclass: #PluggableButtonMorphExample 	instanceVariableNames: 'label state icon' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Examples-Widgets'","PluggableButtonMorphExample class 	instanceVariableNames: ''"
RxsRange,"RxsNode subclass: #RxsRange 	instanceVariableNames: 'first last' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core'","RxsRange class 	instanceVariableNames: ''"
RBInlineTemporaryTest,"RBRefactoringTest subclass: #RBInlineTemporaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBInlineTemporaryTest class 	instanceVariableNames: ''"
MCDirectoryRepository,"MCFileBasedRepository subclass: #MCDirectoryRepository 	instanceVariableNames: 'directory' 	classVariableNames: 'DefaultDirectoryName' 	poolDictionaries: '' 	category: 'Monticello-Repositories'","MCDirectoryRepository class 	instanceVariableNames: ''"
OrderedCollectionTest,"CollectionRootTest subclass: #OrderedCollectionTest 	uses: TSortTest + TEmptySequenceableTest + TAddTest + TSequencedElementAccessTest + TIncludesWithIdentityCheckTest + TCloneTest + TSetArithmetic + TRemoveForMultiplenessTest + TCreationWithTest + TCopyTest + TPutBasicTest + TIterateSequencedReadableTest + TSubCollectionAccess + TIndexAccess + TCopySequenceableWithReplacement + TCopyPartOfSequenceable + TCopySequenceableSameContents + (TCopySequenceableWithOrWithoutSpecificElements - {#testForceToPaddingWith. #testForceToPaddingStartWith}) + TPrintOnSequencedTest + TAsStringCommaAndDelimiterSequenceableTest + TConvertTest + TConvertAsSetForMultiplinessIdentityTest + TSequencedConcatenationTest + TBeginsEndsWith + TReplacementSequencedTest + TIndexAccessForMultipliness + TCopyPartOfSequenceableForMultipliness + TConvertAsSortedTest + TPutTest + TSequencedStructuralEqualityTest + TOccurrencesForMultiplinessTest + TEnumeratingTest 	instanceVariableNames: 'empty nonEmpty collectResult emptyButAllocatedWith20 otherCollection indexCollection elementExistsTwice collectionWithElement collectionOfFloat elementNotIn indexArray withoutEqualElements floatCollectionWithSameBeginingEnd duplicateElement collectionWithDuplicateElement collection5Elements collectionWith4Elements collectionOfCollectionsOfInts collectionOfCollectionsOfStrings withCharacters collectionNotIncluded simpleCollection' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Sequenceable'","OrderedCollectionTest class 	uses: TSortTest classTrait + TEmptySequenceableTest classTrait + TAddTest classTrait + TSequencedElementAccessTest classTrait + TIncludesWithIdentityCheckTest classTrait + TCloneTest classTrait + TSetArithmetic classTrait + TRemoveForMultiplenessTest classTrait + TCreationWithTest classTrait + TCopyTest classTrait + TPutBasicTest classTrait + TIterateSequencedReadableTest classTrait + TSubCollectionAccess classTrait + TIndexAccess classTrait + TCopySequenceableWithReplacement classTrait + TCopyPartOfSequenceable classTrait + TCopySequenceableSameContents classTrait + TCopySequenceableWithOrWithoutSpecificElements classTrait + TPrintOnSequencedTest classTrait + TAsStringCommaAndDelimiterSequenceableTest classTrait + TConvertTest classTrait + TConvertAsSetForMultiplinessIdentityTest classTrait + TSequencedConcatenationTest classTrait + TBeginsEndsWith classTrait + TReplacementSequencedTest classTrait + TIndexAccessForMultipliness classTrait + TCopyPartOfSequenceableForMultipliness classTrait + TConvertAsSortedTest classTrait + TPutTest classTrait + TSequencedStructuralEqualityTest classTrait + TOccurrencesForMultiplinessTest classTrait + TEnumeratingTest classTrait 	instanceVariableNames: ''"
IceGitHubPullRequestDetailModel,"ComposableModel subclass: #IceGitHubPullRequestDetailModel 	instanceVariableNames: 'urlLabel urlText authorLabel authorText fromLabel fromText toLabel toText mergeableLabel mergeablePanel statusLabel statusPanel checksTable bodyText pullRequest' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Plugin-GitHub-View'","IceGitHubPullRequestDetailModel class 	instanceVariableNames: ''"
TraitComposition,"Object subclass: #TraitComposition 	instanceVariableNames: 'transformations' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Traits-Composition'","TraitComposition class 	instanceVariableNames: ''"
KeyboardEvent,"UserInputEvent subclass: #KeyboardEvent 	instanceVariableNames: 'keyValue charCode scanCode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Core-Events'","KeyboardEvent class 	instanceVariableNames: ''"
EpClassChange,"EpBehaviorChange subclass: #EpClassChange 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Epicea-Model'","EpClassChange class 	instanceVariableNames: ''"
MorphChanged,"MorphAnnouncement subclass: #MorphChanged 	instanceVariableNames: 'selector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Core-Announcements'","MorphChanged class 	instanceVariableNames: ''"
MetacelloValidationCriticalWarning,"MetacelloValidationIssue subclass: #MetacelloValidationCriticalWarning 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Validation'","MetacelloValidationCriticalWarning class 	instanceVariableNames: ''"
IceProviderRepositoryType,"IceMetacelloRepositoryType subclass: #IceProviderRepositoryType 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Metacello-Integration'","IceProviderRepositoryType class 	instanceVariableNames: ''"
LGitCredAcquireCallback,"LGitCallback subclass: #LGitCredAcquireCallback 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Callbacks'","LGitCredAcquireCallback class 	instanceVariableNames: ''"
OCOpalExamples,"Object subclass: #OCOpalExamples 	instanceVariableNames: 'iVar collection' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-AST'","OCOpalExamples class 	instanceVariableNames: ''"
ZnFileUrlTests,"TestCase subclass: #ZnFileUrlTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Resource-Meta-Tests'","ZnFileUrlTests class 	instanceVariableNames: ''"
SugsFinderContext,"SugsAbstractContext subclass: #SugsFinderContext 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SmartSuggestions-Menu'","SugsFinderContext class 	instanceVariableNames: ''"
RBClassEnvironment,"RBBrowserEnvironmentWrapper subclass: #RBClassEnvironment 	instanceVariableNames: 'classes metaClasses' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Environment'","RBClassEnvironment class 	instanceVariableNames: ''"
OCContextTempMappingTest,"TestCase subclass: #OCContextTempMappingTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-FromOld'","OCContextTempMappingTest class 	instanceVariableNames: ''"
ManifestRegexCore,"PackageManifest subclass: #ManifestRegexCore 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core'","ManifestRegexCore class 	instanceVariableNames: ''"
MBPackageInfo,"MBAbstractPackageInfo subclass: #MBPackageInfo 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Versionner-Core-Model'","MBPackageInfo class 	instanceVariableNames: ''"
KeyedTree,"Dictionary subclass: #KeyedTree 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Unordered'","KeyedTree class 	instanceVariableNames: ''"
IceGitLocalRepositoryTypeTests,"TestCase subclass: #IceGitLocalRepositoryTypeTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Metacello-Integration-Tests'","IceGitLocalRepositoryTypeTests class 	instanceVariableNames: ''"
LGitReturnCodeEnum,"LGitExternalEnumerationInt32 subclass: #LGitReturnCodeEnum 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Enums'","LGitReturnCodeEnum class 	instanceVariableNames: 'handlers'"
SDL_Event,"FFIExternalObject subclass: #SDL_Event 	instanceVariableNames: '' 	classVariableNames: 'EventTypeMap' 	poolDictionaries: '' 	category: 'OSWindow-SDL2-Bindings'","SDL_Event class 	instanceVariableNames: ''"
CallbackForWin64X64,"Callback subclass: #CallbackForWin64X64 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Alien-Core'","CallbackForWin64X64 class 	instanceVariableNames: ''"
ZnLogEvent,"Announcement subclass: #ZnLogEvent 	instanceVariableNames: 'timestamp id' 	classVariableNames: 'IdCounter LogEventAnnouncer' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Logging'","ZnLogEvent class 	instanceVariableNames: ''"
SugsExtractStatements,"SugsSuggestion subclass: #SugsExtractStatements 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SmartSuggestions-Suggestion'","SugsExtractStatements class 	instanceVariableNames: ''"
DATarjanAlgorithmTest,"TestCase subclass: #DATarjanAlgorithmTest 	instanceVariableNames: 'tarjanPackage packageA packageB packageC packageD packageE packageF packageG packageH anArray' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-Test'","DATarjanAlgorithmTest class 	instanceVariableNames: ''"
RBMoveMethodToClassRefactoring,"RBMethodRefactoring subclass: #RBMoveMethodToClassRefactoring 	instanceVariableNames: 'method' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBMoveMethodToClassRefactoring class 	instanceVariableNames: ''"
RGElementDefinition,"RGDefinition subclass: #RGElementDefinition 	instanceVariableNames: 'parent' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGElementDefinition class 	instanceVariableNames: ''"
GLMBrickRenderer,"Object subclass: #GLMBrickRenderer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Renderer'","GLMBrickRenderer class 	instanceVariableNames: ''"
FTAnnouncement,"Announcement subclass: #FTAnnouncement 	instanceVariableNames: 'fastTable' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-FastTable-Announcement'","FTAnnouncement class 	instanceVariableNames: ''"
Time,"Magnitude subclass: #Time 	instanceVariableNames: 'seconds nanos' 	classVariableNames: '' 	poolDictionaries: 'ChronologyConstants' 	category: 'Kernel-Chronology'","Time class 	instanceVariableNames: ''"
PropertySlot,"Slot subclass: #PropertySlot 	instanceVariableNames: 'baseSlot' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Examples'","PropertySlot class 	instanceVariableNames: ''"
RBInconsistentMethodClassificationRule,"RBBlockLintRule subclass: #RBInconsistentMethodClassificationRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBInconsistentMethodClassificationRule class 	instanceVariableNames: ''"
RecursionStopper,"Object subclass: #RecursionStopper 	instanceVariableNames: 'activeMethods' 	classVariableNames: 'Default' 	poolDictionaries: '' 	category: 'Kernel-Processes'","RecursionStopper class 	instanceVariableNames: ''"
RBRefactoringManager,"Object subclass: #RBRefactoringManager 	instanceVariableNames: 'refactorings' 	classVariableNames: 'Instance' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBRefactoringManager class 	instanceVariableNames: ''"
FileSystemGuide,"Object subclass: #FileSystemGuide 	instanceVariableNames: 'visitor work selectChildren' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Implementation'","FileSystemGuide class 	instanceVariableNames: ''"
PlatformResolver,"FileSystemResolver subclass: #PlatformResolver 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Implementation'","PlatformResolver class 	instanceVariableNames: ''"
RubAbstractSmalltalkMode,"RubEditingMode subclass: #RubAbstractSmalltalkMode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Rubric-Editing-Code'","RubAbstractSmalltalkMode class 	instanceVariableNames: ''"
OSWindowGenericRendererExampleEventHandler,"OSWindowEventVisitor subclass: #OSWindowGenericRendererExampleEventHandler 	instanceVariableNames: 'example' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-SDL2-Examples-Examples'","OSWindowGenericRendererExampleEventHandler class 	instanceVariableNames: ''"
BlockClosuresTestCase,"TestCase subclass: #BlockClosuresTestCase 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Methods'","BlockClosuresTestCase class 	instanceVariableNames: ''"
GLMMorphic,"Object subclass: #GLMMorphic 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Widgets'","GLMMorphic class 	instanceVariableNames: ''"
ManifestMultilingualTextConverterOtherLanguages,"PackageManifest subclass: #ManifestMultilingualTextConverterOtherLanguages 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-TextConverterOtherLanguages'","ManifestMultilingualTextConverterOtherLanguages class 	instanceVariableNames: ''"
RubPrimarySelectionUpdatedInModel,"RubAnnouncement subclass: #RubPrimarySelectionUpdatedInModel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Rubric-Editing-Announcements'","RubPrimarySelectionUpdatedInModel class 	instanceVariableNames: ''"
RubTextFieldMorph,"RubScrolledTextMorph subclass: #RubTextFieldMorph 	instanceVariableNames: 'hasValidText' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Rubric-Editing-Widgets'","RubTextFieldMorph class 	instanceVariableNames: ''"
TextHighlightByBounds,"Object subclass: #TextHighlightByBounds 	instanceVariableNames: 'color lineRange bounds borderWidth borderColor borderSides fillWidth' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TextHighlightByBounds class 	instanceVariableNames: ''"
FT2GlyphRenderer,"GlyphRenderer subclass: #FT2GlyphRenderer 	instanceVariableNames: 'pixelSize form blt matrix translation penX penY slot surface colorMap bitmapX bitmapY descend origin currentColor hAdvance' 	classVariableNames: '' 	poolDictionaries: 'FT2Constants' 	category: 'Athens-Balloon'","FT2GlyphRenderer class 	instanceVariableNames: ''"
MalHal,"MalTarjan subclass: #MalHal 	instanceVariableNames: 'nodesToVisit' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Moose-Algos-Graph'","MalHal class 	instanceVariableNames: ''"
RegexHelp,"CustomHelp subclass: #RegexHelp 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Help'","RegexHelp class 	instanceVariableNames: ''"
ZdcSecureSocketStreamTests,"TestCase subclass: #ZdcSecureSocketStreamTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zodiac-Tests'","ZdcSecureSocketStreamTests class 	instanceVariableNames: ''"
AthensShadowPaint,"AthensPaint subclass: #AthensShadowPaint 	instanceVariableNames: 'color width blur offset' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Core-Paints'","AthensShadowPaint class 	instanceVariableNames: ''"
FLIndexStreamTest,"TestCase subclass: #FLIndexStreamTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests-Streams'","FLIndexStreamTest class 	instanceVariableNames: ''"
TxBasicViewMorph,"Morph subclass: #TxBasicViewMorph 	instanceVariableNames: 'backgroundColor' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TxText-Athens-Widgets'","TxBasicViewMorph class 	instanceVariableNames: ''"
SDL_KeyboardEvent,"SDL2MappedEvent subclass: #SDL_KeyboardEvent 	instanceVariableNames: '' 	classVariableNames: 'OFFSET_KEYSYM OFFSET_PADDING2 OFFSET_PADDING3 OFFSET_REPEAT OFFSET_STATE OFFSET_TIMESTAMP OFFSET_TYPE OFFSET_WINDOWID' 	poolDictionaries: '' 	category: 'OSWindow-SDL2-Bindings'","SDL_KeyboardEvent class 	instanceVariableNames: ''"
Unicode,"EncodedCharSet subclass: #Unicode 	instanceVariableNames: '' 	classVariableNames: 'Cc Cf Cn Co Cs DecimalProperty GeneralCategory Ll Lm Lo Lt Lu Mc Me Mn Nd Nl No Pc Pd Pe Pf Pi Po Ps Sc Sk Sm So ToCasefold ToLower ToUpper Zl Zp Zs' 	poolDictionaries: '' 	category: 'Multilingual-Encodings'","Unicode class 	instanceVariableNames: ''"
SystemAnnouncerTest,"TestCase subclass: #SystemAnnouncerTest 	instanceVariableNames: 'oldSystemAnnouncer factory' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-SystemChangeNotification'","SystemAnnouncerTest class 	instanceVariableNames: ''"
IceCheckoutConflictError,"IceError subclass: #IceCheckoutConflictError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Errors'","IceCheckoutConflictError class 	instanceVariableNames: ''"
DAPackageCycle,"Object subclass: #DAPackageCycle 	instanceVariableNames: 'packages' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-Core'","DAPackageCycle class 	instanceVariableNames: ''"
MCPostscriptDefinition,"MCScriptDefinition subclass: #MCPostscriptDefinition 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Modeling'","MCPostscriptDefinition class 	instanceVariableNames: ''"
ZnConnectionAcceptedEvent,"ZnServerLogEvent subclass: #ZnConnectionAcceptedEvent 	instanceVariableNames: 'address' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Logging'","ZnConnectionAcceptedEvent class 	instanceVariableNames: ''"
TextAlignmentTest,"HashAndEqualsTestCase subclass: #TextAlignmentTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Tests'","TextAlignmentTest class 	instanceVariableNames: ''"
FTExampleMethodModel,"Object subclass: #FTExampleMethodModel 	instanceVariableNames: 'method actionIcon' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-FastTable-Examples'","FTExampleMethodModel class 	instanceVariableNames: ''"
KMCategory,"Object subclass: #KMCategory 	instanceVariableNames: 'name platforms' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Core'","KMCategory class 	instanceVariableNames: ''"
ExampleForTest1,"Object subclass: #ExampleForTest1 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Classes'","ExampleForTest1 class 	instanceVariableNames: ''"
ClassRepackaged,"ClassAnnouncement subclass: #ClassRepackaged 	instanceVariableNames: 'classRepackaged newPackage oldPackage' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Announcements-System-Packages'","ClassRepackaged class 	instanceVariableNames: ''"
ClassOrMethodDefinitionAcceptor,"AbstractAcceptor subclass: #ClassOrMethodDefinitionAcceptor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-Acceptors'","ClassOrMethodDefinitionAcceptor class 	instanceVariableNames: ''"
GLMMorphicExamplesTest,"GLMMorphicTest subclass: #GLMMorphicExamplesTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Tests-Morphic'","GLMMorphicExamplesTest class 	instanceVariableNames: ''"
Base64MimeConverterTest,"TestCase subclass: #Base64MimeConverterTest 	instanceVariableNames: 'message' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Tests-Kernel'","Base64MimeConverterTest class 	instanceVariableNames: ''"
UUIDPrimitivesTest,"TestCase subclass: #UUIDPrimitivesTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-UUID'","UUIDPrimitivesTest class 	instanceVariableNames: ''"
RubTextChanged,"RubMorphAnnouncement subclass: #RubTextChanged 	instanceVariableNames: 'start stop text' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Rubric-Editing-Announcements'","RubTextChanged class 	instanceVariableNames: ''"
GTSpotterAllCandidatesRemoved,"Announcement subclass: #GTSpotterAllCandidatesRemoved 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Spotter-Announcements'","GTSpotterAllCandidatesRemoved class 	instanceVariableNames: ''"
RBExtractMethodTest,"RBRefactoringTest subclass: #RBExtractMethodTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBExtractMethodTest class 	instanceVariableNames: ''"
OSSDL2GenericRenderer,"OSWindowGenericRenderer subclass: #OSSDL2GenericRenderer 	instanceVariableNames: 'renderer' 	classVariableNames: '' 	poolDictionaries: 'SDL2Constants' 	category: 'OSWindow-SDL2'","OSSDL2GenericRenderer class 	instanceVariableNames: ''"
LGitIndex,"LGitRepositoryObject subclass: #LGitIndex 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-CoreObjects'","LGitIndex class 	instanceVariableNames: ''"
MorphicRadioButtonAdapter,"AbstractMorphicAdapter subclass: #MorphicRadioButtonAdapter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-MorphicAdapters'","MorphicRadioButtonAdapter class 	instanceVariableNames: ''"
Collection,"Object subclass: #Collection 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Abstract'","Collection class 	instanceVariableNames: ''"
OSWindowGestureHandler,"OSWindowEventGestureVisitor subclass: #OSWindowGestureHandler 	instanceVariableNames: 'fingers fingerCount registeredGestures devicesFingers lastUpdateTimestamp' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core-Gestures'","OSWindowGestureHandler class 	instanceVariableNames: ''"
FontFamilyAbstract,"Object subclass: #FontFamilyAbstract 	instanceVariableNames: 'familyName members' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FontInfrastructure'","FontFamilyAbstract class 	instanceVariableNames: ''"
GLMMorphicTableRenderer,"GLMMorphicListingRenderer subclass: #GLMMorphicTableRenderer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Renderer'","GLMMorphicTableRenderer class 	instanceVariableNames: ''"
RubSegmentIconMenuMorph,"EmbeddedMenuMorph subclass: #RubSegmentIconMenuMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Rubric-Editing-Widgets'","RubSegmentIconMenuMorph class 	instanceVariableNames: ''"
OSWindowAthensRenderer,"OSWindowRenderer subclass: #OSWindowAthensRenderer 	instanceVariableNames: 'athensSurface session' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core'","OSWindowAthensRenderer class 	instanceVariableNames: ''"
MalSndNode,"MalNodeWithPreviousAndNext subclass: #MalSndNode 	instanceVariableNames: 'visited bfsAncestor' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Moose-Algos-Graph'","MalSndNode class 	instanceVariableNames: ''"
WindowsStore,"DiskStore subclass: #WindowsStore 	instanceVariableNames: 'disk' 	classVariableNames: 'Disks' 	poolDictionaries: '' 	category: 'FileSystem-Disk'","WindowsStore class 	instanceVariableNames: ''"
