Class Name,Instance Side Definition,Class Side Definition
NBRecursionDetect,"Notification subclass: #NBRecursionDetect 	instanceVariableNames: 'method' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Errors'","NBRecursionDetect class 	instanceVariableNames: ''"
SimpleTestResourceTestCase,"TestCase subclass: #SimpleTestResourceTestCase 	instanceVariableNames: 'resource' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Tests-Core'","SimpleTestResourceTestCase class 	instanceVariableNames: ''"
RPackageCreated,"RPackageAnnouncement subclass: #RPackageCreated 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Core'","RPackageCreated class 	instanceVariableNames: ''"
MCClassTraitDefinition,"MCDefinition subclass: #MCClassTraitDefinition 	instanceVariableNames: 'baseTrait classTraitComposition category' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Modeling'","MCClassTraitDefinition class 	instanceVariableNames: ''"
GoferSynchronize,"GoferOperation subclass: #GoferSynchronize 	instanceVariableNames: 'cacheReferences' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferSynchronize class 	instanceVariableNames: ''"
ZnCharacterReadStream,"Object subclass: #ZnCharacterReadStream 	instanceVariableNames: 'stream encoder peekedCharacter' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Core'","ZnCharacterReadStream class 	instanceVariableNames: ''"
MailAddressParserTest,"TestCase subclass: #MailAddressParserTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NetworkTests-RFC822'","MailAddressParserTest class 	instanceVariableNames: ''"
CharacterSetComplement,"Collection subclass: #CharacterSetComplement 	instanceVariableNames: 'absent byteArrayMapCache' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Support'","CharacterSetComplement class 	instanceVariableNames: ''"
ZnMultiValueDictionaryTests,"TestCase subclass: #ZnMultiValueDictionaryTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Resource-Meta-Tests'","ZnMultiValueDictionaryTests class 	instanceVariableNames: ''"
ObsoleteTest,"TestCase subclass: #ObsoleteTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Classes'","ObsoleteTest class 	instanceVariableNames: ''"
NautilusTest,"TestCase subclass: #NautilusTest 	instanceVariableNames: 'nautilus' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-Tests'","NautilusTest class 	instanceVariableNames: ''"
FreeTypeFont,"AbstractFont subclass: #FreeTypeFont 	instanceVariableNames: 'face pointSize simulatedEmphasis pixelSize widthAndKernedWidthCache cachedHeight cachedAscent cachedDescent subPixelPositioned symbolFont' 	classVariableNames: '' 	poolDictionaries: 'FT2Constants FreeTypeCacheConstants' 	category: 'FreeType-Fonts'","FreeTypeFont class 	instanceVariableNames: ''"
GoferMetacelloLoad,"GoferLoad subclass: #GoferMetacelloLoad 	instanceVariableNames: 'version' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferMetacelloLoad class 	instanceVariableNames: ''"
RBToken,"Object subclass: #RBToken 	instanceVariableNames: 'sourcePointer comments' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Tokens'","RBToken class 	instanceVariableNames: ''"
TestRunnerCommandLineHandler,"CommandLineHandler subclass: #TestRunnerCommandLineHandler 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HudsonBuildTools20'","TestRunnerCommandLineHandler class 	instanceVariableNames: ''"
UTF16TextConverterTest,"TestCase subclass: #UTF16TextConverterTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-Tests-TextConversion'","UTF16TextConverterTest class 	instanceVariableNames: ''"
MorphicEvent,"Object subclass: #MorphicEvent 	instanceVariableNames: 'timeStamp source windowIndex' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Events'","MorphicEvent class 	instanceVariableNames: ''"
FT2Face,"FT2Handle subclass: #FT2Face 	instanceVariableNames: 'numFaces faceIndex faceFlags styleFlags numGlyphs familyName styleName numFixedSizes availableSizes numCharmaps charmaps bbox unitsPerEm ascender descender height maxAdvanceWidth maxAdvanceHeight underlinePosition underlineThickness glyph encoding platformId encodingId size' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FreeType-Base'","FT2Face class 	instanceVariableNames: ''"
RBAddMethodRefactoring,"RBMethodRefactoring subclass: #RBAddMethodRefactoring 	instanceVariableNames: 'protocols source' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBAddMethodRefactoring class 	instanceVariableNames: ''"
ListItemWrapper,"Object subclass: #ListItemWrapper 	instanceVariableNames: 'item model' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Explorer'","ListItemWrapper class 	instanceVariableNames: ''"
MCSliceMaker,"Model subclass: #MCSliceMaker 	instanceVariableNames: 'info window okToDoSlice' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloGUI'","MCSliceMaker class 	instanceVariableNames: ''"
PluggableDictionary,"Dictionary subclass: #PluggableDictionary 	instanceVariableNames: 'hashBlock equalBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Unordered'","PluggableDictionary class 	instanceVariableNames: ''"
InstructionClient,"Object subclass: #InstructionClient 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Methods'","InstructionClient class 	instanceVariableNames: ''"
FileExists,"FileSystemError subclass: #FileExists 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Kernel'","FileExists class 	instanceVariableNames: ''"
RBExtractToTemporaryTest,"RBRefactoringTest subclass: #RBExtractToTemporaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBExtractToTemporaryTest class 	instanceVariableNames: ''"
MCMockClassH,"Object variableByteSubclass: #MCMockClassH 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloMocks'","MCMockClassH class 	instanceVariableNames: ''"
ProcessBrowser,"Model subclass: #ProcessBrowser 	instanceVariableNames: 'selectedProcess selectedContext methodText processList processListIndex stackList stackListIndex selectedClass selectedSelector searchString autoUpdateProcess deferredMessageRecipient lastUpdate startedCPUWatcher keyEventsDict' 	classVariableNames: 'SuspendedProcesses WellKnownProcesses' 	poolDictionaries: '' 	category: 'Tools-Process Browser'","ProcessBrowser class 	instanceVariableNames: ''"
IntegerApiSetter,"AbstractApiSetter subclass: #IntegerApiSetter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Editor'","IntegerApiSetter class 	instanceVariableNames: ''"
InstVarAdder,"ComposableModel subclass: #InstVarAdder 	instanceVariableNames: 'description nameField nameLabel toolbar typeField typeLabel typeChoice selectedClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Builder-Tools'","InstVarAdder class 	instanceVariableNames: ''"
NullStream,"Stream subclass: #NullStream 	instanceVariableNames: 'binary position' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Streams'","NullStream class 	instanceVariableNames: ''"
MethodModified,"SystemAnnouncement subclass: #MethodModified 	instanceVariableNames: 'methodClass newMethod newProtocol oldMethod oldProtocol selector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Announcements'","MethodModified class 	instanceVariableNames: ''"
NBWinTest,"Object subclass: #NBWinTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'NBWinConstants NBWinTypes' 	category: 'NativeBoost-Win32'","NBWinTest class 	instanceVariableNames: ''"
ProcessLocalVariable,"ProcessSpecificVariable subclass: #ProcessLocalVariable 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Processes'","ProcessLocalVariable class 	instanceVariableNames: ''"
MCMockAPoolDictionary,"SharedPool subclass: #MCMockAPoolDictionary 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Mocks'","MCMockAPoolDictionary class 	instanceVariableNames: ''"
WidgetBuilt,"Announcement subclass: #WidgetBuilt 	instanceVariableNames: 'model widget' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core-Announcements'","WidgetBuilt class 	instanceVariableNames: ''"
ProtocolClient,"Object subclass: #ProtocolClient 	instanceVariableNames: 'stream connectInfo lastResponse pendingResponses progressObservers' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Protocols'","ProtocolClient class 	instanceVariableNames: ''"
Refactor,"Object subclass: #Refactor 	instanceVariableNames: 'toMoveInSuperClass addAnAbstractMethodNamed' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Refactor'","Refactor class 	instanceVariableNames: ''"
MCGemstoneRepository,"MCHttpRepository subclass: #MCGemstoneRepository 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Repositories'","MCGemstoneRepository class 	instanceVariableNames: ''"
ColorArray,"ArrayedCollection variableWordSubclass: #ColorArray 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Graphics-Display Objects'","ColorArray class 	instanceVariableNames: ''"
GeneralScrollPane,"Morph subclass: #GeneralScrollPane 	instanceVariableNames: 'scroller hScrollbar vScrollbar' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","GeneralScrollPane class 	instanceVariableNames: ''"
FileHandle,"FileSystemHandle subclass: #FileHandle 	instanceVariableNames: 'id' 	classVariableNames: 'Registry' 	poolDictionaries: '' 	category: 'FileSystem-Disk'","FileHandle class 	instanceVariableNames: ''"
GroupsHolder,"Object subclass: #GroupsHolder 	instanceVariableNames: 'groups' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GroupManager'","GroupsHolder class 	instanceVariableNames: ''"
WorkspaceTest,"TestCase subclass: #WorkspaceTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ToolsTest-Base'","WorkspaceTest class 	instanceVariableNames: ''"
NautilusBreadcrumbsPlugin,"AbstractNautilusPlugin subclass: #NautilusBreadcrumbsPlugin 	instanceVariableNames: 'classButton container methodButton packageButton protocolButton hFill groupButton' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Plugin'","NautilusBreadcrumbsPlugin class 	instanceVariableNames: ''"
RBAddClassVariableTest,"RBRefactoringTest subclass: #RBAddClassVariableTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBAddClassVariableTest class 	instanceVariableNames: ''"
GoogleAttachment,"Object subclass: #GoogleAttachment 	instanceVariableNames: 'comment contents filename issue name url' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CI-Core'","GoogleAttachment class 	instanceVariableNames: ''"
IdentityBagTest,"BagTest subclass: #IdentityBagTest 	instanceVariableNames: 'equalNotIdenticalElement elementToCopy identityBagNonEmptyNoDuplicate5Elements elementAlreadyIncluded identityBagWithoutElement' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Unordered'","IdentityBagTest class 	instanceVariableNames: ''"
HashTester,"PrototypeTester subclass: #HashTester 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Utilities'","HashTester class 	instanceVariableNames: ''"
FLLightGlobalMapper,"FLMapper subclass: #FLLightGlobalMapper 	instanceVariableNames: 'globals' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Mappers'","FLLightGlobalMapper class 	instanceVariableNames: ''"
AbstractDescription,"Object subclass: #AbstractDescription 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Builder'","AbstractDescription class 	instanceVariableNames: ''"
RBMissingTranslationsInMenusRule,"RBParseTreeLintRule subclass: #RBMissingTranslationsInMenusRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBMissingTranslationsInMenusRule class 	instanceVariableNames: ''"
ZdcSecureSocketStream,"ZdcOptimizedSocketStream subclass: #ZdcSecureSocketStream 	instanceVariableNames: 'sslSession in out connecting' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zodiac-Core'","ZdcSecureSocketStream class 	instanceVariableNames: ''"
NautilusMonticello,"Object subclass: #NautilusMonticello 	instanceVariableNames: '' 	classVariableNames: 'Default' 	poolDictionaries: '' 	category: 'Nautilus'","NautilusMonticello class 	instanceVariableNames: ''"
GoferFetch,"GoferSynchronize subclass: #GoferFetch 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferFetch class 	instanceVariableNames: ''"
SystemVersion,"Object subclass: #SystemVersion 	instanceVariableNames: 'version date highestUpdate updates type major minor suffix' 	classVariableNames: 'Current' 	poolDictionaries: '' 	category: 'System-Support'","SystemVersion class 	instanceVariableNames: ''"
SimpleServiceEntry,"Model subclass: #SimpleServiceEntry 	instanceVariableNames: 'provider label selector usingLineAfter stateSelector description argumentGetter buttonLabel' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-FileRegistry'","SimpleServiceEntry class 	instanceVariableNames: ''"
MetacelloCachingGoferResolvedReference,"GoferResolvedReference subclass: #MetacelloCachingGoferResolvedReference 	instanceVariableNames: 'cachedVersion' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Gofer'","MetacelloCachingGoferResolvedReference class 	instanceVariableNames: ''"
DecompilerConstructorForClosures,"DecompilerConstructor subclass: #DecompilerConstructorForClosures 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-Support'","DecompilerConstructorForClosures class 	instanceVariableNames: ''"
HistoryNodeTest,"TestCase subclass: #HistoryNodeTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-SystemHistory'","HistoryNodeTest class 	instanceVariableNames: ''"
ClassOrganizationDeclaration,"BehaviorInstallingDeclaration subclass: #ClassOrganizationDeclaration 	instanceVariableNames: 'classOrganizer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CodeImport'","ClassOrganizationDeclaration class 	instanceVariableNames: ''"
FreeTypeFontFamily,"FontFamilyAbstract subclass: #FreeTypeFontFamily 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FreeType-FontManager'","FreeTypeFontFamily class 	instanceVariableNames: ''"
