Class Name,Instance Side Definition,Class Side Definition
MorphDropListMorph,"DropListMorph subclass: #MorphDropListMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","MorphDropListMorph class 	instanceVariableNames: ''"
ChangeSetClassChangesTest,"TestCase subclass: #ChangeSetClassChangesTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Bugs'","ChangeSetClassChangesTest class 	instanceVariableNames: ''"
MetacelloProjectSpec,"MetacelloSpec subclass: #MetacelloProjectSpec 	instanceVariableNames: 'name className versionString operator loads preLoadDoIt postLoadDoIt' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Specs'","MetacelloProjectSpec class 	instanceVariableNames: ''"
WeakValueAssociation,"LookupKey weakSubclass: #WeakValueAssociation 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Support'","WeakValueAssociation class 	instanceVariableNames: ''"
DateAndTimeTest,"ClassTestCase subclass: #DateAndTimeTest 	uses: TDateTimeTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Chronology'","DateAndTimeTest class 	uses: TDateTimeTest classTrait 	instanceVariableNames: ''"
TextHighlight,"Object subclass: #TextHighlight 	instanceVariableNames: 'color lineRange borderWidth borderColor borderSides fillWidth lineHighligths textMorph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TextHighlight class 	instanceVariableNames: ''"
MetacelloValidationError,"MetacelloValidationIssue subclass: #MetacelloValidationError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Validation'","MetacelloValidationError class 	instanceVariableNames: ''"
ZnUnknownScheme,"Error subclass: #ZnUnknownScheme 	instanceVariableNames: 'scheme' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Resource-Meta-Core'","ZnUnknownScheme class 	instanceVariableNames: ''"
ArrayLiteralTest,"TestCase subclass: #ArrayLiteralTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CompilerTests'","ArrayLiteralTest class 	instanceVariableNames: ''"
RBAddInstanceVariableTest,"RBRefactoringTest subclass: #RBAddInstanceVariableTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBAddInstanceVariableTest class 	instanceVariableNames: ''"
NewList,"ScrollPane subclass: #NewList 	instanceVariableNames: 'listCache listSize isInitialized isMultipleSelection selectedIndex selectedIndexes renderer headerHeight headerTitle clickOnHeader lastKeystrokeTime lastKeystrokes secondSelection displayListCache deSelectOnReclick runningProcesses selectionWithKeys drawColor selectedItem selectedItems unselectOnChange iconCache iconMaxSize enabled' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NewList'","NewList class 	instanceVariableNames: ''"
FontFamilyAbstract,"Object subclass: #FontFamilyAbstract 	instanceVariableNames: 'familyName members' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FreeType-FontManager'","FontFamilyAbstract class 	instanceVariableNames: ''"
AlignmentMorph,"RectangleMorph subclass: #AlignmentMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Basic'","AlignmentMorph class 	instanceVariableNames: ''"
Path,"Object variableSubclass: #Path 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Kernel'","Path class 	instanceVariableNames: ''"
TableLayoutProperties,"LayoutProperties subclass: #TableLayoutProperties 	instanceVariableNames: 'cellInset cellPositioning cellSpacing layoutInset listCentering listDirection listSpacing reverseTableCells rubberBandCells wrapCentering wrapDirection minCellSize maxCellSize' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Layouts'","TableLayoutProperties class 	instanceVariableNames: ''"
ReduceTest,"TestCase subclass: #ReduceTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Sequenceable'","ReduceTest class 	instanceVariableNames: ''"
ZnValueDelegate,"Object subclass: #ZnValueDelegate 	instanceVariableNames: 'object' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Client-Server'","ZnValueDelegate class 	instanceVariableNames: ''"
MOPTestClassD,"Object subclass: #MOPTestClassD 	uses: Trait2 @ {#c3->#c2} 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Traits-MOP'","MOPTestClassD class 	uses: Trait2 classTrait 	instanceVariableNames: ''"
MailSender,"AppRegistry subclass: #MailSender 	instanceVariableNames: '' 	classVariableNames: 'SmtpServer UserName' 	poolDictionaries: '' 	category: 'System-Applications'","MailSender class 	instanceVariableNames: ''"
RBSearchingLiteralRule,"RBParseTreeLintRule subclass: #RBSearchingLiteralRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBSearchingLiteralRule class 	instanceVariableNames: ''"
RPackageExtensionMethodsSynchronisationTest,"RPackageMCSynchronisationTest subclass: #RPackageExtensionMethodsSynchronisationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-SystemIntegration'","RPackageExtensionMethodsSynchronisationTest class 	instanceVariableNames: ''"
MethodContextTest,"TestCase subclass: #MethodContextTest 	instanceVariableNames: 'aCompiledMethod aReceiver aMethodContext aSender' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Methods'","MethodContextTest class 	instanceVariableNames: ''"
AJOperand,"Object subclass: #AJOperand 	instanceVariableNames: 'data compilerData operandId x64padding annotation' 	classVariableNames: '' 	poolDictionaries: 'AJConstants' 	category: 'AsmJit-Operands'","AJOperand class 	instanceVariableNames: ''"
ZdcSimpleSocketStream,"ZdcAbstractSocketStream subclass: #ZdcSimpleSocketStream 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zodiac-Core'","ZdcSimpleSocketStream class 	instanceVariableNames: ''"
TestClass,"Object subclass: #TestClass 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NewClassOrganizer'","TestClass class 	instanceVariableNames: ''"
ZnResponseTests,"TestCase subclass: #ZnResponseTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Tests'","ZnResponseTests class 	instanceVariableNames: ''"
PackageChecker,"Object subclass: #PackageChecker 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-SystemIntegration'","PackageChecker class 	instanceVariableNames: ''"
SpecSplitterVertical,"SpecLayoutAdd subclass: #SpecSplitterVertical 	instanceVariableNames: 'commands' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Layout'","SpecSplitterVertical class 	instanceVariableNames: ''"
CharacterBlockScanner,"CharacterScanner subclass: #CharacterBlockScanner 	instanceVariableNames: 'characterPoint characterIndex lastCharacter lastCharacterExtent lastSpaceOrTabExtent nextLeftMargin specialWidth' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Scanning'","CharacterBlockScanner class 	instanceVariableNames: ''"
DropListSpec,"AbstractSpec subclass: #DropListSpec 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core-Specs'","DropListSpec class 	instanceVariableNames: ''"
WidgetEditor,"WidgetSetter subclass: #WidgetEditor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Editor'","WidgetEditor class 	instanceVariableNames: ''"
RBAssignmentInIfTrueRule,"RBTransformationRule subclass: #RBAssignmentInIfTrueRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-TransformationRules'","RBAssignmentInIfTrueRule class 	instanceVariableNames: ''"
RPackageCategorySynchronisationTest,"RPackageMCSynchronisationTest subclass: #RPackageCategorySynchronisationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-SystemIntegration'","RPackageCategorySynchronisationTest class 	instanceVariableNames: ''"
MCSnapshotReader,"MCReader subclass: #MCSnapshotReader 	instanceVariableNames: 'definitions' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Storing'","MCSnapshotReader class 	instanceVariableNames: ''"
RBRemoveAssignmentWithoutEffectRule,"RBTransformationRule subclass: #RBRemoveAssignmentWithoutEffectRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Manifest-Core'","RBRemoveAssignmentWithoutEffectRule class 	instanceVariableNames: ''"
BreakPoint,"Halt subclass: #BreakPoint 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Debugger'","BreakPoint class 	instanceVariableNames: ''"
TutorialPlayer,"Object subclass: #TutorialPlayer 	instanceVariableNames: 'tutorialPosition tutorial' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ProfStef-Core'","TutorialPlayer class 	instanceVariableNames: ''"
ComposableSpec,"AbstractSpec subclass: #ComposableSpec 	instanceVariableNames: 'subSpecs' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core-Specs'","ComposableSpec class 	instanceVariableNames: ''"
RBRemoveClassVariableChange,"RBRefactoryVariableChange subclass: #RBRemoveClassVariableChange 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBRemoveClassVariableChange class 	instanceVariableNames: ''"
TimedOut,"Notification subclass: #TimedOut 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Methods'","TimedOut class 	instanceVariableNames: ''"
HierarchicalUrl,"Url subclass: #HierarchicalUrl 	instanceVariableNames: 'schemeName authority path query port username password' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Url'","HierarchicalUrl class 	instanceVariableNames: ''"
MorphWrapper,"Object subclass: #MorphWrapper 	instanceVariableNames: 'layout morph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Widgets-Utilities'","MorphWrapper class 	instanceVariableNames: ''"
TestSuiteEnded,"TestCaseAnnouncement subclass: #TestSuiteEnded 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Announcements'","TestSuiteEnded class 	instanceVariableNames: ''"
PluggableIconListMorph,"PluggableMorphListMorph subclass: #PluggableIconListMorph 	instanceVariableNames: 'getIconSelector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","PluggableIconListMorph class 	instanceVariableNames: ''"
AJRoutineStackManager,"Object subclass: #AJRoutineStackManager 	instanceVariableNames: 'calls instructions assembler noStackFrame temps maxTemps extraStackBytes' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AsmJit-StackManagement'","AJRoutineStackManager class 	instanceVariableNames: ''"
RWBinaryOrTextStream,"ReadWriteStream subclass: #RWBinaryOrTextStream 	instanceVariableNames: 'isBinary' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Streams'","RWBinaryOrTextStream class 	instanceVariableNames: ''"
NBExternalHeapManager,"Object subclass: #NBExternalHeapManager 	instanceVariableNames: 'pages freeBlocks reservedBlocks sema' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Heap'","NBExternalHeapManager class 	instanceVariableNames: ''"
DefaultExternalDropHandler,"Object subclass: #DefaultExternalDropHandler 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Support'","DefaultExternalDropHandler class 	instanceVariableNames: ''"
RBRefactoryDefinitionChange,"RBRefactoryClassChange subclass: #RBRefactoryDefinitionChange 	instanceVariableNames: 'controller definition definedClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBRefactoryDefinitionChange class 	instanceVariableNames: ''"
MCVersionInfo,"MCAncestry subclass: #MCVersionInfo 	instanceVariableNames: 'id name message date time author' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Versioning'","MCVersionInfo class 	instanceVariableNames: ''"
ReturnNode,"ParseNode subclass: #ReturnNode 	instanceVariableNames: 'expr' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-ParseNodes'","ReturnNode class 	instanceVariableNames: ''"
ZnMimeType,"Object subclass: #ZnMimeType 	instanceVariableNames: 'main sub parameters' 	classVariableNames: 'ExtensionsMap MimeTypes' 	poolDictionaries: '' 	category: 'Zinc-Resource-Meta-Core'","ZnMimeType class 	instanceVariableNames: ''"
AJRoutineEpilogue,"AJInstruction subclass: #AJRoutineEpilogue 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AsmJit-Instructions'","AJRoutineEpilogue class 	instanceVariableNames: ''"
SetElement,"Object subclass: #SetElement 	instanceVariableNames: 'enclosedElement' 	classVariableNames: 'NilElement' 	poolDictionaries: '' 	category: 'Collections-Support'","SetElement class 	instanceVariableNames: ''"
RPackageImportFromPackageInfoTest,"RPackageTestCase subclass: #RPackageImportFromPackageInfoTest 	instanceVariableNames: 'emptyOrganizer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Tests'","RPackageImportFromPackageInfoTest class 	instanceVariableNames: ''"
Base64MimeConverter,"MimeConverter subclass: #Base64MimeConverter 	instanceVariableNames: 'data multiLine' 	classVariableNames: 'FromCharTable ToCharTable' 	poolDictionaries: '' 	category: 'Network-MIME'","Base64MimeConverter class 	instanceVariableNames: ''"
TraitFileOutTest,"TraitsTestCase subclass: #TraitFileOutTest 	instanceVariableNames: 'ca cb ta tb tc td' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Traits'","TraitFileOutTest class 	instanceVariableNames: ''"
CodeHolderSystemSettings,"Object subclass: #CodeHolderSystemSettings 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Settings-Tools'","CodeHolderSystemSettings class 	instanceVariableNames: ''"
ClassCommentVersionsBrowser,"VersionsBrowser subclass: #ClassCommentVersionsBrowser 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Changes'","ClassCommentVersionsBrowser class 	instanceVariableNames: ''"
FontSet,"Object subclass: #FontSet 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'TextConstants' 	category: 'Graphics-Fonts'","FontSet class 	instanceVariableNames: ''"
RBSelectorEnvironment,"RBBrowserEnvironmentWrapper subclass: #RBSelectorEnvironment 	instanceVariableNames: 'classSelectors metaClassSelectors' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Environment'","RBSelectorEnvironment class 	instanceVariableNames: ''"
DictionaryInspector,"Inspector subclass: #DictionaryInspector 	instanceVariableNames: 'keyArray' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Inspector'","DictionaryInspector class 	instanceVariableNames: ''"
BlocEditor,"ComposableModel subclass: #BlocEditor 	instanceVariableNames: 'block ok post pre text' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Editor'","BlocEditor class 	instanceVariableNames: ''"
TextKernTest,"HashAndEqualsTestCase subclass: #TextKernTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TextTests'","TextKernTest class 	instanceVariableNames: ''"
ZnHttpUnsuccessful,"Error subclass: #ZnHttpUnsuccessful 	instanceVariableNames: 'response' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Exceptions'","ZnHttpUnsuccessful class 	instanceVariableNames: ''"
UnlockedKeyChain,"KeyChain subclass: #UnlockedKeyChain 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KeyChain'","UnlockedKeyChain class 	instanceVariableNames: ''"
DisplayMedium,"DisplayObject subclass: #DisplayMedium 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Graphics-Display Objects'","DisplayMedium class 	instanceVariableNames: ''"
ChangesLog,"Object subclass: #ChangesLog 	instanceVariableNames: 'startupStamp' 	classVariableNames: 'DefaultInstance' 	poolDictionaries: '' 	category: 'System-Support'","ChangesLog class 	instanceVariableNames: ''"
TextInputFieldModel,"TextModel subclass: #TextInputFieldModel 	instanceVariableNames: 'ghostText alwaysAccept acceptOnCR autoAccept entryCompletion isEncrypted' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Widgets'","TextInputFieldModel class 	instanceVariableNames: ''"
StackLayout,"LayoutPolicy subclass: #StackLayout 	instanceVariableNames: 'cachedMinExtent cachedMinExtents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","StackLayout class 	instanceVariableNames: ''"
FIFOQueueTests,"TestCase subclass: #FIFOQueueTests 	instanceVariableNames: 'count' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Atomic'","FIFOQueueTests class 	instanceVariableNames: ''"
TextPrintIt,"TextDoIt subclass: #TextPrintIt 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Core'","TextPrintIt class 	instanceVariableNames: ''"
SUnitUnloader,"Object subclass: #SUnitUnloader 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Utilities'","SUnitUnloader class 	instanceVariableNames: ''"
HashedCollection,"Collection subclass: #HashedCollection 	instanceVariableNames: 'tally array' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Abstract'","HashedCollection class 	instanceVariableNames: ''"
ZnLimitedReadStreamTests,"TestCase subclass: #ZnLimitedReadStreamTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Tests'","ZnLimitedReadStreamTests class 	instanceVariableNames: ''"
WorkingCopyToolBar,"ComposableModel subclass: #WorkingCopyToolBar 	instanceVariableNames: 'browseButton configButton packageButton sliceButton workingCopyHolder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Monticello'","WorkingCopyToolBar class 	instanceVariableNames: ''"
NBByteArrayPtr,"NBExternalType subclass: #NBByteArrayPtr 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Types'","NBByteArrayPtr class 	instanceVariableNames: ''"
NOCModel,"NECUntypedModel subclass: #NOCModel 	instanceVariableNames: 'table expand context nextModel cachedEntries classTable' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NOCompletion-Model'","NOCModel class 	instanceVariableNames: ''"
AssertionFailure,"Halt subclass: #AssertionFailure 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","AssertionFailure class 	instanceVariableNames: ''"
MorphTreeSelectionChanged,"MorphTreeAnnounce subclass: #MorphTreeSelectionChanged 	instanceVariableNames: 'selection' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget'","MorphTreeSelectionChanged class 	instanceVariableNames: ''"
AbstractMethodWidget,"AbstractWidget subclass: #AbstractMethodWidget 	instanceVariableNames: '' 	classVariableNames: 'MethodsIconsCache' 	poolDictionaries: '' 	category: 'Nautilus-Widgets'","AbstractMethodWidget class 	instanceVariableNames: ''"
TraitAlias,"TraitTransformation subclass: #TraitAlias 	instanceVariableNames: 'aliases' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Traits-Composition'","TraitAlias class 	instanceVariableNames: ''"
POP3LoginError,"ProtocolClientError subclass: #POP3LoginError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Protocols'","POP3LoginError class 	instanceVariableNames: ''"
MonitorTest,"TestCase subclass: #MonitorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Processes'","MonitorTest class 	instanceVariableNames: ''"
GoferConstraintReference,"GoferPackageReference subclass: #GoferConstraintReference 	instanceVariableNames: 'constraintBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferConstraintReference class 	instanceVariableNames: ''"
MCScanner,"Object subclass: #MCScanner 	instanceVariableNames: 'stream' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Chunk Format'","MCScanner class 	instanceVariableNames: ''"
MCPatcher,"Object subclass: #MCPatcher 	instanceVariableNames: 'definitions' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Patching'","MCPatcher class 	instanceVariableNames: ''"
DeleteVisitorTest,"SingleTreeTest subclass: #DeleteVisitorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core'","DeleteVisitorTest class 	instanceVariableNames: ''"
FLVariablesMapping,"Object subclass: #FLVariablesMapping 	instanceVariableNames: 'mapping theClass notIgnoredVariables references' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Clusters'","FLVariablesMapping class 	instanceVariableNames: ''"
TimeProfiler,"MorphTreeModel subclass: #TimeProfiler 	instanceVariableNames: 'win rootMessageTally threshold minPercentageToExpand treeMorph block blockCodePane withBlockCodePane blockSource reportOtherProcesses showLeavesOnly codeTabPane resultPane result withToolBar' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Profilers'","TimeProfiler class 	instanceVariableNames: ''"
PragmaCollectorReset,"Announcement subclass: #PragmaCollectorReset 	instanceVariableNames: 'collector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Pragmas-Collector'","PragmaCollectorReset class 	instanceVariableNames: ''"
MergeDiffMorph,"DiffMorph subclass: #MergeDiffMorph 	instanceVariableNames: 'allowJoinClicks' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","MergeDiffMorph class 	instanceVariableNames: ''"
RBBooleanPrecedenceRule,"RBParseTreeLintRule subclass: #RBBooleanPrecedenceRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBBooleanPrecedenceRule class 	instanceVariableNames: ''"
BlockApiSetter,"AbstractApiSetter subclass: #BlockApiSetter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Editor'","BlockApiSetter class 	instanceVariableNames: ''"
SyntaxErrorNotification,"Error subclass: #SyntaxErrorNotification 	instanceVariableNames: 'inClass code category doitFlag errorMessage location' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-Exceptions'","SyntaxErrorNotification class 	instanceVariableNames: ''"
HelpBuilder,"Object subclass: #HelpBuilder 	instanceVariableNames: 'topicToBuild rootToBuildFrom' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Core-Builders'","HelpBuilder class 	instanceVariableNames: ''"
LazyListMorph,"Morph subclass: #LazyListMorph 	instanceVariableNames: 'listItems font selectedRow selectedRows listSource maxWidth' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets'","LazyListMorph class 	instanceVariableNames: ''"
ControlButtonMorph,"PluggableButtonMorph subclass: #ControlButtonMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","ControlButtonMorph class 	instanceVariableNames: ''"
MessageBrowser,"ComposableModel subclass: #MessageBrowser 	instanceVariableNames: 'listModel textModel toolbarModel maxClassSize refreshingBlockHolder cachedHierarchy wrapper searchedStringHolder titleHolder model topologicSortHolder textConverterHolder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Senders'","MessageBrowser class 	instanceVariableNames: ''"
FLSingletonMockEnforced,"FLSingletonMock subclass: #FLSingletonMockEnforced 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests-Mocks'","FLSingletonMockEnforced class 	instanceVariableNames: ''"
GoferRepositoryError,"Error subclass: #GoferRepositoryError 	instanceVariableNames: 'repository' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferRepositoryError class 	instanceVariableNames: ''"
ZipCrcTests,"TestCase subclass: #ZipCrcTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Compression'","ZipCrcTests class 	instanceVariableNames: ''"
RBRemoveClassTest,"RBRefactoringTest subclass: #RBRemoveClassTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBRemoveClassTest class 	instanceVariableNames: ''"
HeapTest,"CollectionRootTest subclass: #HeapTest 	uses: TAddTest + TGrowableTest + TConvertTest + TConvertAsSortedTest + TConvertAsSetForMultiplinessIdentityTest + TCopyTest + TSetArithmetic + TRemoveForMultiplenessTest + TOccurrencesForMultiplinessTest + TCreationWithTest - {#testOfSize} + TIncludesWithIdentityCheckTest 	instanceVariableNames: 'collectionWithElement otherCollection nonEmpty empty elementNotIn collectResult expectedElementByDetect speciesClass elementTwiceIn doWithoutNumber element expectedSizeAfterReject collectionNotIncluded nonEmpty5ElementsWithoutDuplicate sameAtEndAndBegining nonEmpty1Element floatCollection indexArray subCollection duplicateElement collectionWithDuplicateElement collectionWith4Elements' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Sequenceable'","HeapTest class 	uses: TAddTest classTrait + TGrowableTest classTrait + TConvertTest classTrait + TConvertAsSortedTest classTrait + TConvertAsSetForMultiplinessIdentityTest classTrait + TCopyTest classTrait + TSetArithmetic classTrait + TRemoveForMultiplenessTest classTrait + TCreationWithTest classTrait + TIncludesWithIdentityCheckTest classTrait + TOccurrencesForMultiplinessTest classTrait 	instanceVariableNames: ''"
FLIgnoredVariablesTest,"FLClassSerializationTest subclass: #FLIgnoredVariablesTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLIgnoredVariablesTest class 	instanceVariableNames: ''"
MirrorPrimitiveTests,"TestCase subclass: #MirrorPrimitiveTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CompilerTests'","MirrorPrimitiveTests class 	instanceVariableNames: ''"
MOPTraitTest,"TestCase subclass: #MOPTraitTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Traits-MOP'","MOPTraitTest class 	instanceVariableNames: ''"
MethodRecategorized,"SystemAnnouncement subclass: #MethodRecategorized 	instanceVariableNames: 'methodClass methodRecategorized newProtocol oldProtocol selector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Announcements'","MethodRecategorized class 	instanceVariableNames: ''"
ProvideAnswerNotification,"Notification subclass: #ProvideAnswerNotification 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'UIManager-Support'","ProvideAnswerNotification class 	instanceVariableNames: ''"
BalloonEngine,"Object subclass: #BalloonEngine 	instanceVariableNames: 'workBuffer span bitBlt forms clipRect destOffset externals aaLevel edgeTransform colorTransform deferred postFlushNeeded' 	classVariableNames: 'BezierStats BufferCache CacheProtect Counts Debug Times' 	poolDictionaries: 'BalloonEngineConstants' 	category: 'Balloon-Engine'","BalloonEngine class 	instanceVariableNames: ''"
AJx86InstructionDescription,"Object subclass: #AJx86InstructionDescription 	instanceVariableNames: 'name group comment description o1Flags o2Flags opCodeR opCode1 opCode2 groupEmitSelector' 	classVariableNames: '' 	poolDictionaries: 'AJConstants AJx86Registers' 	category: 'AsmJit-x86-Instructions'","AJx86InstructionDescription class 	instanceVariableNames: 'instructions reference'"
