Class Name,Instance Side Definition,Class Side Definition
JoinSide,"Object subclass: #JoinSide 	instanceVariableNames: 'range offset lineRange highlights color text' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","JoinSide class 	instanceVariableNames: ''"
OBMercuryPanel,"OBTextPanel subclass: #OBMercuryPanel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Standard-Panels'","OBMercuryPanel class 	instanceVariableNames: ''"
TextStream,"WriteStream subclass: #TextStream 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Streams'","TextStream class 	instanceVariableNames: ''"
ClassAPIHelpBuilder,"HelpBuilder subclass: #ClassAPIHelpBuilder 	instanceVariableNames: 'addSubclasses addMethods subclassesAsSeparateTopic' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Core-Builders'","ClassAPIHelpBuilder class 	instanceVariableNames: ''"
OBCmdResetSearch,"OBCommand subclass: #OBCmdResetSearch 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Standard-Commands'","OBCmdResetSearch class 	instanceVariableNames: ''"
DirectoryDoesNotExist,"FileSystemError subclass: #DirectoryDoesNotExist 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Kernel'","DirectoryDoesNotExist class 	instanceVariableNames: ''"
SmalltalkImage,"Object subclass: #SmalltalkImage 	instanceVariableNames: 'globals deferredStartupActions' 	classVariableNames: 'CheckChangesFileAvailability CheckSourcesFileAvailability EndianCache LastImageName LastQuitLogPosition LowSpaceProcess LowSpaceSemaphore MemoryHogs ShutDownList SourceFileVersionString SpecialSelectors StartUpList StartupStamp Tools' 	poolDictionaries: '' 	category: 'System-Support'","SmalltalkImage class 	instanceVariableNames: ''"
ZipStore,"MemoryStore subclass: #ZipStore 	instanceVariableNames: 'reference' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Zip'","ZipStore class 	instanceVariableNames: ''"
LimitingLineStreamWrapper,"Object subclass: #LimitingLineStreamWrapper 	instanceVariableNames: 'stream line limitingBlock position' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Streams'","LimitingLineStreamWrapper class 	instanceVariableNames: ''"
MetacelloCommonMCSpecLoader,"MetacelloSpecLoader subclass: #MetacelloCommonMCSpecLoader 	instanceVariableNames: 'operator loaderPolicy disablePackageCache' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Loaders'","MetacelloCommonMCSpecLoader class 	instanceVariableNames: ''"
TextAndTextStreamTest,"TestCase subclass: #TextAndTextStreamTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Text'","TextAndTextStreamTest class 	instanceVariableNames: ''"
PolygonMorphTest,"MorphTest subclass: #PolygonMorphTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MorphicTests-Basic'","PolygonMorphTest class 	instanceVariableNames: ''"
Timespan,"Magnitude subclass: #Timespan 	instanceVariableNames: 'start duration' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Chronology'","Timespan class 	instanceVariableNames: ''"
DataStreamTest,"BaseStreamTest subclass: #DataStreamTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Files'","DataStreamTest class 	instanceVariableNames: ''"
AuthorTest,"TestCase subclass: #AuthorTest 	instanceVariableNames: 'author' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-System'","AuthorTest class 	instanceVariableNames: ''"
DiffMorph,"ComposableMorph subclass: #DiffMorph 	instanceVariableNames: 'srcText dstText prettyPrint contextClass srcMorph dstMorph scrollbarMorph mapMorph joinMorph difference joinMappings' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","DiffMorph class 	instanceVariableNames: ''"
WeakFinalizationList,"Object subclass: #WeakFinalizationList 	instanceVariableNames: 'first' 	classVariableNames: 'HasNewFinalization TestItem TestList' 	poolDictionaries: '' 	category: 'Collections-Weak'","WeakFinalizationList class 	instanceVariableNames: ''"
SettingFilter,"Object subclass: #SettingFilter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Filter'","SettingFilter class 	instanceVariableNames: ''"
RBAssignmentInBlockRule,"RBParseTreeLintRule subclass: #RBAssignmentInBlockRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBAssignmentInBlockRule class 	instanceVariableNames: ''"
TelnetProtocolError,"ProtocolClientError subclass: #TelnetProtocolError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Protocols'","TelnetProtocolError class 	instanceVariableNames: ''"
CommandLine,"AbstractUserInput subclass: #CommandLine 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Support'","CommandLine class 	instanceVariableNames: 'singleton'"
RBExcessiveInheritanceRule,"RBBlockLintRule subclass: #RBExcessiveInheritanceRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBExcessiveInheritanceRule class 	instanceVariableNames: ''"
OBCmdRemoveMethod,"OBCommand subclass: #OBCmdRemoveMethod 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Standard-Commands'","OBCmdRemoveMethod class 	instanceVariableNames: ''"
ZnRequestTests,"TestCase subclass: #ZnRequestTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Tests'","ZnRequestTests class 	instanceVariableNames: ''"
SUnitUnloader,"Object subclass: #SUnitUnloader 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Utilities'","SUnitUnloader class 	instanceVariableNames: ''"
BitmapFillStyle,"OrientedFillStyle subclass: #BitmapFillStyle 	instanceVariableNames: 'form tileFlag' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Balloon-Fills'","BitmapFillStyle class 	instanceVariableNames: ''"
KMSettings,"Object subclass: #KMSettings 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Settings'","KMSettings class 	instanceVariableNames: ''"
RBParseTreeEnvironment,"RBSelectorEnvironment subclass: #RBParseTreeEnvironment 	instanceVariableNames: 'matcher' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics'","RBParseTreeEnvironment class 	instanceVariableNames: ''"
MCGemstoneRepository,"MCHttpRepository subclass: #MCGemstoneRepository 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Repositories'","MCGemstoneRepository class 	instanceVariableNames: ''"
ClassTreeNodeExample,"MorphTreeNodeModel subclass: #ClassTreeNodeExample 	instanceVariableNames: 'contents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget-Examples'","ClassTreeNodeExample class 	instanceVariableNames: ''"
